Episode,Steps,TotalReward,FinalState,Epsilon
0,200,-2701,91,0.8955
1,200,-2607,11,0.891023
2,200,-3562,2,0.886567
3,200,-2503,10,0.882135
4,180,-2037,99,0.877724
5,200,-3325,50,0.873335
6,200,-2511,19,0.868969
7,200,-2491,30,0.864624
8,200,-2318,49,0.860301
9,200,-2981,13,0.855999
10,200,-3006,65,0.851719
11,200,-2370,95,0.847461
12,200,-2474,82,0.843223
13,200,-2542,42,0.839007
14,200,-1768,9,0.834812
15,200,-2228,48,0.830638
16,200,-2016,84,0.826485
17,200,-2540,51,0.822352
18,200,-2196,28,0.818241
19,200,-2449,9,0.814149
20,200,-2837,57,0.810079
21,80,-673,99,0.806028
22,200,-2457,87,0.801998
23,200,-1841,37,0.797988
24,128,-1561,99,0.793998
25,157,-2032,99,0.790028
26,200,-2325,74,0.786078
27,200,-2173,28,0.782148
28,200,-2353,18,0.778237
29,200,-1946,22,0.774346
30,200,-1898,21,0.770474
31,200,-2541,37,0.766622
32,200,-2388,85,0.762789
33,176,-1827,99,0.758975
34,200,-1725,23,0.75518
35,170,-2406,99,0.751404
36,200,-2195,11,0.747647
37,200,-2223,48,0.743909
38,200,-1975,36,0.740189
39,200,-2659,42,0.736488
40,200,-2314,48,0.732806
41,200,-2844,45,0.729142
42,200,-1878,24,0.725496
43,200,-2866,48,0.721869
44,200,-1703,49,0.718259
45,200,-2508,24,0.714668
46,77,-638,99,0.711095
47,166,-1552,99,0.707539
48,200,-2071,67,0.704001
49,200,-2145,0,0.700481
50,200,-2143,48,0.696979
51,200,-2448,83,0.693494
52,200,-2240,97,0.690027
53,162,-2249,99,0.686576
54,200,-2672,62,0.683144
55,97,-942,99,0.679728
56,200,-2379,93,0.676329
57,200,-2175,72,0.672948
58,200,-2796,62,0.669583
59,200,-1526,67,0.666235
60,200,-2180,91,0.662904
61,160,-1971,99,0.659589
62,152,-2088,99,0.656291
63,200,-3153,72,0.65301
64,172,-2780,99,0.649745
65,200,-1682,95,0.646496
66,200,-2200,84,0.643264
67,200,-1893,29,0.640047
68,200,-1384,9,0.636847
69,200,-1227,38,0.633663
70,111,-1015,99,0.630495
71,200,-1874,66,0.627342
72,200,-2915,57,0.624205
73,200,-3012,54,0.621084
74,200,-2459,74,0.617979
75,140,-1450,99,0.614889
76,200,-1731,71,0.611815
77,200,-1890,55,0.608755
78,200,-1838,57,0.605712
79,200,-1944,64,0.602683
80,200,-1618,67,0.59967
81,200,-1596,83,0.596671
82,200,-1799,51,0.593688
83,200,-1392,54,0.59072
84,200,-2082,55,0.587766
85,156,-1151,99,0.584827
86,200,-1819,55,0.581903
87,200,-1720,13,0.578993
88,200,-1354,41,0.576099
89,200,-2316,62,0.573218
90,200,-1573,39,0.570352
91,200,-2473,72,0.5675
92,128,-967,99,0.564663
93,200,-1944,69,0.561839
94,200,-1946,45,0.55903
95,200,-2157,22,0.556235
96,200,-1620,42,0.553454
97,200,-1637,66,0.550687
98,200,-1480,11,0.547933
99,200,-1428,76,0.545194
100,200,-1419,22,0.542468
101,200,-1315,0,0.539755
102,200,-1638,10,0.537057
103,200,-1865,11,0.534371
104,200,-1437,36,0.531699
105,200,-3987,90,0.529041
106,200,-1617,11,0.526396
107,200,-1422,82,0.523764
108,200,-1031,45,0.521145
109,200,-1294,66,0.518539
110,200,-1379,25,0.515947
111,200,-1550,52,0.513367
112,200,-1307,23,0.5108
113,179,-1444,99,0.508246
114,200,-1789,48,0.505705
115,200,-1858,81,0.503176
116,200,-1748,22,0.50066
117,200,-1745,24,0.498157
118,200,-1419,45,0.495666
119,46,-506,99,0.493188
120,200,-1598,2,0.490722
121,200,-1275,52,0.488268
122,200,-903,23,0.485827
123,200,-1330,90,0.483398
124,200,-1355,64,0.480981
125,200,-1108,91,0.478576
126,200,-1387,71,0.476183
127,200,-1767,13,0.473802
128,200,-1897,24,0.471433
129,200,-1584,22,0.469076
130,200,-1480,56,0.466731
131,200,-1571,45,0.464397
132,200,-1357,5,0.462075
133,200,-1135,6,0.459765
134,200,-1647,32,0.457466
135,200,-1686,32,0.455178
136,200,-1431,32,0.452903
137,200,-2197,22,0.450638
138,200,-1263,22,0.448385
139,200,-1240,5,0.446143
140,140,-887,99,0.443912
141,200,-1326,25,0.441693
142,200,-1092,42,0.439484
143,126,-806,99,0.437287
144,188,-718,99,0.4351
145,93,-224,99,0.432925
146,200,-1618,16,0.43076
147,152,-464,99,0.428606
148,98,-435,99,0.426463
149,200,-1100,49,0.424331
150,200,-891,45,0.422209
151,200,-775,39,0.420098
152,200,-1020,4,0.417998
153,200,-767,47,0.415908
154,200,-1018,55,0.413828
155,200,-829,53,0.411759
156,192,-525,99,0.4097
157,200,-828,55,0.407652
158,136,-530,99,0.405614
159,171,-991,99,0.403586
160,200,-880,6,0.401568
161,200,-1168,21,0.39956
162,200,-1172,65,0.397562
163,187,-1031,99,0.395574
164,200,-867,32,0.393596
165,200,-1338,25,0.391628
166,200,-955,24,0.38967
167,200,-993,52,0.387722
168,200,-826,54,0.385783
169,200,-855,26,0.383854
170,200,-873,24,0.381935
171,101,-411,99,0.380025
172,200,-882,48,0.378125
173,200,-866,64,0.376235
174,200,-941,48,0.374353
175,200,-657,48,0.372482
176,200,-1290,2,0.370619
177,181,-946,99,0.368766
178,200,-847,64,0.366922
179,200,-980,21,0.365088
180,200,-1171,20,0.363262
181,200,-1198,22,0.361446
182,200,-1063,10,0.359639
183,170,-524,99,0.357841
184,75,-192,99,0.356051
185,200,-1045,52,0.354271
186,106,-418,99,0.3525
187,77,-474,99,0.350737
188,200,-651,48,0.348984
189,73,-321,99,0.347239
190,95,-506,99,0.345502
191,80,-224,99,0.343775
192,192,-556,99,0.342056
193,50,-149,99,0.340346
194,200,-1146,48,0.338644
195,66,-485,99,0.336951
196,58,-254,99,0.335266
197,200,-719,29,0.33359
198,44,-3,99,0.331922
199,169,-236,99,0.330262
200,35,-99,99,0.328611
201,200,-521,28,0.326968
202,200,-717,29,0.325333
203,200,-787,19,0.323706
204,200,-898,59,0.322088
205,126,-418,99,0.320477
206,200,-884,39,0.318875
207,200,-673,57,0.317281
208,114,-387,99,0.315694
209,65,-245,99,0.314116
210,200,-668,15,0.312545
211,200,-717,27,0.310982
212,200,-1064,47,0.309428
213,200,-1211,16,0.30788
214,200,-520,15,0.306341
215,19,-25,99,0.304809
216,42,-206,99,0.303285
217,41,-9,99,0.301769
218,24,-70,99,0.30026
219,125,-559,99,0.298759
220,24,-21,99,0.297265
221,145,-339,99,0.295779
222,154,-662,99,0.2943
223,200,-1073,94,0.292828
224,82,-346,99,0.291364
225,31,59,99,0.289907
226,21,20,99,0.288458
227,40,-95,99,0.287015
228,79,-91,99,0.28558
229,32,18,99,0.284153
230,46,-163,99,0.282732
231,183,-584,99,0.281318
232,99,-283,99,0.279912
233,128,-929,99,0.278512
234,117,-348,99,0.277119
235,74,-235,99,0.275734
236,105,-525,99,0.274355
237,50,-263,99,0.272983
238,150,-516,99,0.271618
239,200,-558,93,0.27026
240,200,-610,94,0.268909
241,200,-877,82,0.267565
242,200,-800,62,0.266227
243,200,-517,92,0.264896
244,147,-552,99,0.263571
245,59,-20,99,0.262253
246,169,-380,99,0.260942
247,23,-24,99,0.259637
